"X","y","m","person","coin","group","total","total_category"
200,637,1336,"FelipeFontanaVieira","0.50EUR","internet",1336,"1000-2000"
201,276,590,"FelipeFontanaVieira","1EUR","internet",590,"500-1000"
202,1589,3103,"FelipeFontanaVieira","2EUR","internet",3103,">=2000"
203,2095,4220,"FranziskaNippold","0.50EUR","internet",4220,">=2000"
204,256,539,"FranziskaNippold","0.20EUR","internet",539,"500-1000"
205,283,546,"FranziskaNippold","2INR","internet",546,"500-1000"
206,517,1084,"FrederikAust","0.50EUR","internet",1084,"1000-2000"
207,782,1626,"FrederikAust","2EUR","internet",1626,"1000-2000"
208,233,478,"FrederikAust","1EUR","internet",478,"100-500"
209,775,1523,"FrederikAust","0.20EUR","internet",1523,"1000-2000"
210,257,496,"FrederikAust","0.10EUR","internet",496,"100-500"
211,275,515,"frantisekB","20DEM-silver","top-up",515,"500-1000"
212,250,495,"frantisekB","1CZK","top-up",495,"100-500"
213,271,531,"frantisekB","5CZK","top-up",531,"500-1000"
214,484,979,"frantisekB","0.25USD","top-up",979,"500-1000"
215,454,961,"frantisekB","10CZK","top-up",961,"500-1000"
216,756,1507,"frantisekB","0.50EUR","top-up",1507,"1000-2000"
217,981,1952,"frantisekB","1EUR","top-up",1952,"1000-2000"
218,2208,4334,"ingeborgR","2HRK","marathon",4334,">=2000"
219,2292,4257,"alexandraS","1MXN","top-up",4257,">=2000"
220,1936,3635,"madlenH","0.50EUR","marathon",3635,">=2000"
221,2390,4658,"henrikG","2EUR","marathon-PhD",4658,">=2000"
222,1910,3680,"adamF","5ZAR","marathon",3680,">=2000"
223,249,475,"adamF","0.05EUR","marathon",475,"100-500"
224,1485,2939,"jillR","0.20EUR","marathon",2939,">=2000"
225,157,304,"jillR","0.20GEL","marathon",304,"100-500"
226,1542,3008,"jonasP","0.20GEL","marathon-PhD",3008,">=2000"
227,346,731,"pierreG","1CHF","bachelor",731,"500-1000"
228,375,744,"pierreG","5CZK","bachelor",744,"500-1000"
229,366,742,"pierreG","1CNY","bachelor",742,"500-1000"
230,377,749,"pierreG","100JPY","bachelor",749,"500-1000"
231,383,753,"pierreG","5JPY","bachelor",753,"500-1000"
232,727,1479,"pierreG","2CHF","bachelor",1479,"1000-2000"
233,395,766,"pierreG","2EUR","bachelor",766,"500-1000"
234,359,732,"pierreG","1EUR","bachelor",732,"500-1000"
235,353,730,"pierreG","0.50EUR","bachelor",730,"500-1000"
236,502,995,"amirS","5MAD","bachelor",995,"500-1000"
237,756,1497,"amirS","2MAD","bachelor",1497,"1000-2000"
238,476,985,"amirS","1MAD","bachelor",985,"500-1000"
239,538,1027,"amirS","0.05NZD","bachelor",1027,"1000-2000"
240,715,1481,"amirS","0.50EUR","bachelor",1481,"1000-2000"
241,715,1492,"amirS","1EUR","bachelor",1492,"1000-2000"
242,1117,2251,"davidV","0.20EUR","bachelor",2251,">=2000"
243,695,1349,"davidV","1EUR","bachelor",1349,"1000-2000"
244,815,1640,"davidV","0.05EUR","bachelor",1640,"1000-2000"
245,399,823,"davidV","0.50EUR","bachelor",823,"500-1000"
246,1008,1904,"davidV","0.10EUR","bachelor",1904,"1000-2000"
247,403,782,"kaleemU","2EUR","bachelor",782,"500-1000"
248,474,931,"kaleemU","1EUR","bachelor",931,"500-1000"
249,484,994,"kaleemU","0.50EUR","bachelor",994,"500-1000"
250,165,338,"irmaT","1EUR","bachelor",338,"100-500"
251,609,1244,"kaleemU","0.20EUR","bachelor",1244,"1000-2000"
252,382,754,"kaleemU","0.10EUR","bachelor",754,"500-1000"
253,456,980,"kaleemU","0.20GBP","bachelor",980,"500-1000"
254,356,739,"kaleemU","0.50GBP","bachelor",739,"500-1000"
255,386,768,"kaleemU","2CHF","bachelor",768,"500-1000"
256,3992,7544,"davidKL","1SGD","bachelor",7544,">=2000"
257,490,951,"AaronLob","1EUR","marathon-MSc",951,"500-1000"
258,771,1498,"AaronLob","2EUR","marathon-MSc",1498,"1000-2000"
259,247,489,"AaronLob","0.20EUR","marathon-MSc",489,"100-500"
260,239,475,"AaronLob","1DEM","marathon-MSc",475,"100-500"
261,131,252,"AaronLob","0.50EUR","marathon-MSc",252,"100-500"
262,509,961,"AdrianKarami","0.20EUR","marathon-MSc",961,"500-1000"
263,258,509,"AdrianKarami","2EUR","marathon-MSc",509,"500-1000"
264,102,227,"AdrianKarami","1GBP","marathon-MSc",227,"100-500"
265,255,506,"alexandraS","1EUR","top-up",506,"500-1000"
266,249,499,"alexandraS","1DEM","top-up",499,"100-500"
267,748,1496,"alexandraS","2EUR","top-up",1496,"1000-2000"
268,258,499,"alexandraS","1CAD","top-up",499,"100-500"
269,230,470,"alexandraS","10CZK","top-up",470,"100-500"
270,242,479,"alexandraS","0.50EUR","top-up",479,"100-500"
271,250,498,"alexandraS","0.20EUR","top-up",498,"100-500"
272,221,439,"AndreeaZetea","0.25USD","marathon-MSc",439,"100-500"
273,215,468,"AndreeaZetea","0.05EUR","marathon-MSc",468,"100-500"
274,387,793,"AndreeaZetea","2EUR","marathon-MSc",793,"500-1000"
275,252,509,"AndreeaZetea","0.50RON","marathon-MSc",509,"500-1000"
276,223,440,"ArneJohn","5SEK","marathon-MSc",440,"100-500"
277,251,501,"ArneJohn","2EUR","marathon-MSc",501,"500-1000"
278,240,487,"ArneJohn","1EUR","marathon-MSc",487,"100-500"
279,228,496,"ArneJohn","0.50EUR","marathon-MSc",496,"100-500"
280,231,455,"BohanFu","0.50EUR","marathon-MSc",455,"100-500"
281,244,484,"BohanFu","0.20EUR","marathon-MSc",484,"100-500"
282,63,143,"BohanFu","0.02EUR","marathon-MSc",143,"100-500"
283,256,473,"EJ","2EUR","marathon-MSc",473,"100-500"
284,267,513,"EJ","1EUR","marathon-MSc",513,"500-1000"
285,234,496,"EJ","0.50EUR","marathon-MSc",496,"100-500"
286,234,479,"EJ","0.20EUR","marathon-MSc",479,"100-500"
287,68,113,"EJ","50CZK","marathon-MSc",113,"100-500"
288,651,1301,"frantisekB","1CAD","top-up",1301,"1000-2000"
289,274,509,"frantisekB","0.20EUR","top-up",509,"500-1000"
290,424,802,"frantisekB","50CZK","top-up",802,"500-1000"
291,261,461,"FranziskaAssion","1EUR","marathon-MSc",461,"100-500"
292,307,534,"FranziskaAssion","1DEM","marathon-MSc",534,"500-1000"
293,276,508,"FranziskaAssion","0.20EUR","marathon-MSc",508,"500-1000"
294,221,438,"FranziskaAssion","2EUR","marathon-MSc",438,"100-500"
295,257,472,"HannahArmstrong","2CAD","marathon-MSc",472,"100-500"
296,277,522,"HannahArmstrong","2EUR","marathon-MSc",522,"500-1000"
297,259,513,"HannahArmstrong","1CAD","marathon-MSc",513,"500-1000"
298,28,53,"HannahArmstrong","0.25CAD","marathon-MSc",53,"<100"
299,241,491,"henrikG","1EUR","marathon-PhD",491,"100-500"
300,452,944,"henrikG","10CZK","marathon-PhD",944,"500-1000"
301,252,508,"henrikG","1DEM","marathon-PhD",508,"500-1000"
302,240,503,"henrikG","0.01GBP","marathon-PhD",503,"500-1000"
303,230,488,"henrikG","50CZK","marathon-PhD",488,"100-500"
304,259,437,"JanYang","0.50EUR","marathon-MSc",437,"100-500"
305,187,377,"JanYang","0.20EUR","marathon-MSc",377,"100-500"
306,211,433,"JoycePang","0.50SGD","marathon-MSc",433,"100-500"
307,233,490,"JoycePang","0.20EUR","marathon-MSc",490,"100-500"
308,94,201,"JoycePang","1SGD","marathon-MSc",201,"100-500"
309,198,411,"MagdaMatetovici","0.50RON","marathon-MSc",411,"100-500"
310,239,492,"MagdaMatetovici","0.50EUR","marathon-MSc",492,"100-500"
311,265,512,"MagdaMatetovici","5SEK","marathon-MSc",512,"500-1000"
312,263,501,"MagdaMatetovici","2CAD","marathon-MSc",501,"500-1000"
313,268,519,"MagdaMatetovici","2EUR","marathon-MSc",519,"500-1000"
314,33,52,"MagdaMatetovici","1CAD","marathon-MSc",52,"<100"
315,211,433,"MaraBialas","2EUR","marathon-MSc",433,"100-500"
316,255,472,"MaraBialas","0.50EUR","marathon-MSc",472,"100-500"
317,232,453,"MaraBialas","10CZK","marathon-MSc",453,"100-500"
