"person","X","y","m","coin","total","total_category","category","prop"
"frantisekB",214,484,979,"0.25USD",979,"500-1000","marathon",0.49438202247191
"frantisekB",211,275,515,"20DEM-silver",515,"500-1000","marathon",0.533980582524272
"frantisekB",212,250,495,"1CZK",495,"100-500","marathon",0.505050505050505
"frantisekB",213,271,531,"5CZK",531,"500-1000","marathon",0.510357815442561
"frantisekB",138,278,522,"0.20GEL",522,"500-1000","marathon",0.532567049808429
"frantisekB",215,454,961,"10CZK",961,"500-1000","marathon",0.472424557752341
"frantisekB",216,756,1507,"0.50EUR",1507,"1000-2000","marathon",0.501658925016589
"frantisekB",217,981,1952,"1EUR",1952,"1000-2000","marathon",0.502561475409836
"frantisekB",78,253,491,"0.20EUR",491,"100-500","marathon",0.515274949083503
"frantisekB",79,415,798,"50CZK",798,"500-1000","marathon",0.520050125313283
"frantisekB",349,231,478,"0.20GEL",478,"100-500","marathon",0.48326359832636
"frantisekB",288,651,1301,"1CAD",1301,"1000-2000","marathon",0.500384319754035
"frantisekB",77,655,1299,"1CAD",1299,"1000-2000","marathon",0.50423402617398
"henrikG",89,566,1056,"10CZK",1056,"1000-2000","marathon",0.535984848484849
"henrikG",302,240,503,"0.01GBP",503,"500-1000","marathon",0.47713717693837
"henrikG",92,253,512,"50CZK",512,"500-1000","marathon",0.494140625
"henrikG",351,227,481,"0.50EUR",481,"100-500","marathon",0.471933471933472
"henrikG",301,252,508,"1DEM",508,"500-1000","marathon",0.496062992125984
"henrikG",221,2390,4658,"2EUR",4658,"2000-5000","marathon",0.513095749248605
"henrikG",91,235,497,"0.01GBP",497,"100-500","marathon",0.472837022132797
"henrikG",88,261,509,"1EUR",509,"500-1000","marathon",0.512770137524558
"henrikG",303,230,488,"50CZK",488,"100-500","marathon",0.471311475409836
"henrikG",90,235,492,"1DEM",492,"100-500","marathon",0.477642276422764
"henrikG",140,262,519,"0.50EUR",519,"500-1000","marathon",0.504816955684008
"henrikG",300,452,944,"10CZK",944,"500-1000","marathon",0.478813559322034
"henrikG",10,2349,4624,"2EUR",4624,"2000-5000","marathon",0.508001730103806
"henrikG",350,235,458,"1CAD",458,"100-500","marathon",0.513100436681223
"henrikG",299,241,491,"1EUR",491,"100-500","marathon",0.490835030549898
"henrikG",139,221,442,"1CAD",442,"100-500","marathon",0.5
"ingeborgR",7,2132,4262,"2HRK",4262,"2000-5000","marathon",0.500234631628343
"ingeborgR",218,2208,4334,"2HRK",4334,"2000-5000","marathon",0.509460083064144
"irmaT",250,165,338,"1EUR",338,"100-500","bachelor",0.488165680473373
"irmaT",39,188,363,"1EUR",363,"100-500","bachelor",0.517906336088154
"jillR",225,157,304,"0.20GEL",304,"100-500","marathon",0.516447368421053
"jillR",14,152,298,"0.20GEL",298,"100-500","marathon",0.51006711409396
"jillR",224,1485,2939,"0.20EUR",2939,"2000-5000","marathon",0.505273902687989
"jillR",13,1467,2922,"0.20EUR",2922,"2000-5000","marathon",0.502053388090349
"jonasP",150,248,495,"10CZK",495,"100-500","marathon",0.501010101010101
"jonasP",362,265,510,"2EUR",510,"500-1000","marathon",0.519607843137255
"jonasP",151,246,490,"2EUR",490,"100-500","marathon",0.502040816326531
"jonasP",149,257,506,"1CAD",506,"500-1000","marathon",0.507905138339921
"jonasP",226,1542,3008,"0.20GEL",3008,"2000-5000","marathon",0.512632978723404
"jonasP",361,255,505,"10CZK",505,"500-1000","marathon",0.504950495049505
"jonasP",15,1517,2988,"0.20GEL",2988,"2000-5000","marathon",0.507697456492637
"jonasP",148,278,525,"0.50EUR",525,"500-1000","marathon",0.52952380952381
"jonasP",360,245,494,"1CAD",494,"100-500","marathon",0.495951417004049
"jonasP",359,227,475,"0.50EUR",475,"100-500","marathon",0.477894736842105
"kaleemU",251,609,1244,"0.20EUR",1244,"1000-2000","bachelor",0.489549839228296
"kaleemU",42,504,1025,"0.20GBP",1025,"1000-2000","bachelor",0.491707317073171
"kaleemU",36,342,720,"2EUR",720,"500-1000","bachelor",0.475
"kaleemU",249,484,994,"0.50EUR",994,"500-1000","bachelor",0.48692152917505
"kaleemU",40,623,1257,"0.20EUR",1257,"1000-2000","bachelor",0.495624502784407
"kaleemU",37,416,871,"1EUR",871,"500-1000","bachelor",0.477611940298507
"kaleemU",43,382,765,"0.50GBP",765,"500-1000","bachelor",0.499346405228758
"kaleemU",44,356,735,"2CHF",735,"500-1000","bachelor",0.484353741496599
"kaleemU",253,456,980,"0.20GBP",980,"500-1000","bachelor",0.46530612244898
"kaleemU",41,380,751,"0.10EUR",751,"500-1000","bachelor",0.505992010652463
"kaleemU",248,474,931,"1EUR",931,"500-1000","bachelor",0.509129967776584
"kaleemU",252,382,754,"0.10EUR",754,"500-1000","bachelor",0.506631299734748
"kaleemU",254,356,739,"0.50GBP",739,"500-1000","bachelor",0.481732070365359
"kaleemU",255,386,768,"2CHF",768,"500-1000","bachelor",0.502604166666667
"kaleemU",38,503,1008,"0.50EUR",1008,"1000-2000","bachelor",0.499007936507937
"kaleemU",247,403,782,"2EUR",782,"500-1000","bachelor",0.5153452685422
"madlenH",9,1769,3463,"0.50EUR",3463,"2000-5000","marathon",0.51082876118972
"madlenH",220,1936,3635,"0.50EUR",3635,"2000-5000","marathon",0.532599724896836
"pierreG",234,359,732,"1EUR",732,"500-1000","bachelor",0.490437158469945
"pierreG",21,769,1521,"2CHF",1521,"1000-2000","bachelor",0.505588428665352
"pierreG",233,395,766,"2EUR",766,"500-1000","bachelor",0.515665796344647
"pierreG",231,383,753,"5JPY",753,"500-1000","bachelor",0.50863213811421
"pierreG",229,366,742,"1CNY",742,"500-1000","bachelor",0.493261455525606
"pierreG",230,377,749,"100JPY",749,"500-1000","bachelor",0.503337783711616
"pierreG",232,727,1479,"2CHF",1479,"1000-2000","bachelor",0.491548343475321
"pierreG",22,364,734,"2EUR",734,"500-1000","bachelor",0.49591280653951
"pierreG",20,376,747,"5JPY",747,"500-1000","bachelor",0.50334672021419
"pierreG",19,380,751,"100JPY",751,"500-1000","bachelor",0.505992010652463
"pierreG",235,353,730,"0.50EUR",730,"500-1000","bachelor",0.483561643835616
"pierreG",16,386,769,"1CHF",769,"500-1000","bachelor",0.501950585175553
"pierreG",227,346,731,"1CHF",731,"500-1000","bachelor",0.473324213406293
"pierreG",18,381,758,"1CNY",758,"500-1000","bachelor",0.502638522427441
"pierreG",17,384,756,"5CZK",756,"500-1000","bachelor",0.507936507936508
"pierreG",228,375,744,"5CZK",744,"500-1000","bachelor",0.504032258064516
"pierreG",24,390,770,"0.50EUR",770,"500-1000","bachelor",0.506493506493506
"pierreG",23,395,768,"1EUR",768,"500-1000","bachelor",0.514322916666667
