heads→heads,tails→heads,N_start_heads_up,N_start_tails_up,person,coin,group
566,492,1056,944,henrikG,10CZK,marathon-PhD
235,256,492,508,henrikG,1DEM,marathon-PhD
235,263,497,503,henrikG,0.01GBP,marathon-PhD
253,258,512,488,henrikG,50CZK,marathon-PhD
279,178,454,437,JanYang,0.50EUR,marathon-MSc
231,190,423,377,JanYang,0.20EUR,marathon-MSc
245,222,467,433,JoycePang,0.50SGD,marathon-MSc
250,257,510,490,JoycePang,0.20EUR,marathon-MSc
93,107,199,201,JoycePang,1SGD,marathon-MSc
223,213,433,411,MagdaMatetovici,0.50RON,marathon-MSc
256,253,508,492,MagdaMatetovici,0.50EUR,marathon-MSc
241,247,488,512,MagdaMatetovici,5SEK,marathon-MSc
262,238,499,501,MagdaMatetovici,2CAD,marathon-MSc
233,251,481,519,MagdaMatetovici,2EUR,marathon-MSc
29,19,48,52,MagdaMatetovici,1CAD,marathon-MSc
244,222,467,433,MaraBialas,2EUR,marathon-MSc
253,217,473,472,MaraBialas,0.50EUR,marathon-MSc
231,221,452,453,MaraBialas,10CZK,marathon-MSc
228,209,438,462,RoyMichaelMoore,0.20EUR,marathon-MSc
244,233,479,521,RoyMichaelMoore,1EUR,marathon-MSc
254,238,488,512,RoyMichaelMoore,0.50EUR,marathon-MSc
245,262,504,496,RoyMichaelMoore,2EUR,marathon-MSc
264,256,521,479,SjoerdTerpstra,0.50RON,marathon-MSc
251,251,505,495,SjoerdTerpstra,0.50EUR,marathon-MSc
252,252,499,501,SjoerdTerpstra,2EUR,marathon-MSc
247,252,495,505,SjoerdTerpstra,1CAD,marathon-MSc
277,236,514,486,SjoerdTerpstra,5SEK,marathon-MSc
244,219,461,439,TheresaLeidinger,2EUR,marathon-MSc
301,271,573,527,TheresaLeidinger,2CAD,marathon-MSc
206,228,436,464,TheresaLeidinger,0.25USD,marathon-MSc
144,148,290,310,TheresaLeidinger,1CAD,marathon-MSc
271,191,463,437,TianqiPeng,1EUR,marathon-MSc
257,188,448,552,TianqiPeng,0.20EUR,marathon-MSc
252,178,430,470,TianqiPeng,0.50EUR,marathon-MSc
240,220,460,440,TingPan,2EUR,marathon-MSc
316,230,549,451,TingPan,0.50SGD,marathon-MSc
224,247,472,528,TingPan,0.05EUR,marathon-MSc
75,73,146,154,TingPan,1EUR,marathon-MSc
236,209,444,456,VincentOtt,1EUR,marathon-MSc
232,240,468,532,VincentOtt,2EUR,marathon-MSc
210,258,467,533,VincentOtt,0.50EUR,marathon-MSc
242,246,491,509,VincentOtt,0.20GBP,marathon-MSc
223,262,483,517,VincentOtt,1DEM,marathon-MSc
247,189,436,445,XiaochangZhao,0.50SGD,marathon-MSc
260,233,494,506,XiaochangZhao,0.50EUR,marathon-MSc
236,238,478,522,XiaochangZhao,0.20EUR,marathon-MSc
158,144,301,299,XiaochangZhao,2EUR,marathon-MSc
188,247,440,460,XiaoyiLin,0.50EUR,marathon-MSc
187,159,349,351,XiaoyiLin,0.20EUR,marathon-MSc
278,247,522,478,frantisekB,0.20GEL,top-up
221,223,442,458,henrikG,1CAD,marathon-PhD
262,254,519,481,henrikG,0.50EUR,marathon-PhD
255,245,497,503,JasonNak,0.20EUR,marathon-PhD
272,246,517,483,JasonNak,0.10EUR,marathon-PhD
261,251,513,487,JasonNak,1CAD,marathon-PhD
239,258,497,503,JasonNak,2EUR,marathon-PhD
230,271,499,501,JasonNak,0.50EUR,marathon-PhD
261,235,495,505,JasonNak,10CZK,marathon-PhD
174,170,346,354,JasonNak,50CZK,marathon-PhD
278,248,525,475,jonasP,0.50EUR,marathon-PhD
257,249,506,494,jonasP,1CAD,marathon-PhD
248,250,495,505,jonasP,10CZK,marathon-PhD
246,245,490,510,jonasP,2EUR,marathon-PhD
253,247,501,499,KarolineH,1EUR,marathon-PhD
225,246,472,528,KarolineH,50CZK,marathon-PhD
511,498,1008,992,KarolineH,2EUR,marathon-PhD
243,256,502,498,KarolineH,10CZK,marathon-PhD
138,122,257,243,KarolineH,0.25USD,marathon-PhD
260,259,517,483,KatharinaKarnbach,1CHF,marathon-PhD
269,249,520,480,KatharinaKarnbach,1GBP,marathon-PhD
266,244,512,488,KatharinaKarnbach,0.50EUR,marathon-PhD
254,235,491,509,KatharinaKarnbach,1EUR,marathon-PhD
87,101,188,212,KatharinaKarnbach,2EUR,marathon-PhD
267,237,505,495,KoenDerks,0.50EUR,marathon-PhD
252,246,496,504,KoenDerks,0.20EUR,marathon-PhD
250,248,496,504,KoenDerks,2EUR,marathon-PhD
221,252,472,528,KoenDerks,1EUR,marathon-PhD
266,228,491,509,KoenDerks,1CAD,marathon-PhD
273,241,511,489,KoenDerks,0.10EUR,marathon-PhD
93,98,192,208,KoenDerks,0.20GEL,marathon-PhD
253,246,501,499,MichelleDonzallaz,2EUR,marathon-PhD
263,234,497,503,MichelleDonzallaz,50CZK,marathon-PhD
262,241,506,494,MichelleDonzallaz,0.50EUR,marathon-PhD
262,236,496,504,MichelleDonzallaz,1EUR,marathon-PhD
78,80,157,143,MichelleDonzallaz,0.05EUR,marathon-PhD
269,240,511,489,RietvanBork,0.05EUR,marathon-PhD
238,248,485,515,RietvanBork,1CHF,marathon-PhD
248,255,503,497,RietvanBork,0.20GEL,marathon-PhD
121,156,277,323,RietvanBork,0.50EUR,marathon-PhD
237,241,476,524,ThomasBastelica,0.10EUR,marathon-PhD
230,253,482,518,ThomasBastelica,2EUR,marathon-PhD
251,252,501,499,ThomasBastelica,50CZK,marathon-PhD
224,249,472,528,ThomasBastelica,1CHF,marathon-PhD
279,238,517,483,ThomasBastelica,1CAD,marathon-PhD
1269,1205,2481,2522,AntonZoubek,0.50EUR,marathon-Manheim
1318,1258,2578,2423,AntonZoubek,5SEK,marathon-Manheim
510,516,1021,979,ChrisGabrielIslam,5JPY,marathon-Manheim
523,491,1012,991,ChrisGabrielIslam,2BDT,marathon-Manheim
506,494,1003,998,ChrisGabrielIslam,0.10RON,marathon-Manheim
525,507,1030,970,ChrisGabrielIslam,1EUR,marathon-Manheim
482,511,995,1006,ChrisGabrielIslam,5SEK,marathon-Manheim
500,480,982,1018,MalteZoubek,1EUR,marathon-Manheim
540,484,1024,976,MalteZoubek,2BDT,marathon-Manheim
251,258,510,490,MalteZoubek,0.50EUR,marathon-Manheim
260,258,523,477,MalteZoubek,0.20CHF,marathon-Manheim
758,743,1507,1493,MalteZoubek,5SEK,marathon-Manheim
262,244,504,496,MalteZoubek,2ILS,marathon-Manheim
260,248,507,493,MalteZoubek,0.25BRL,marathon-Manheim
1073,1018,2086,1914,SaraShabani,1EUR,marathon-Manheim
802,718,1526,1474,SaraShabani,5SEK,marathon-Manheim
740,750,1495,1505,SaraShabani,0.25BRL,marathon-Manheim
637,706,1336,1367,FelipeFontanaVieira,0.50EUR,internet
276,314,590,611,FelipeFontanaVieira,1EUR,internet
1589,1511,3103,3008,FelipeFontanaVieira,2EUR,internet
2095,2161,4220,4386,FranziskaNippold,0.50EUR,internet
256,288,539,566,FranziskaNippold,0.20EUR,internet
283,269,546,500,FranziskaNippold,2INR,internet
517,561,1084,1116,FrederikAust,0.50EUR,internet
782,844,1626,1674,FrederikAust,2EUR,internet
233,249,478,522,FrederikAust,1EUR,internet
775,746,1523,1477,FrederikAust,0.20EUR,internet
257,238,496,504,FrederikAust,0.10EUR,internet
