Amir,40,0.5 NZD,Heads,thtthxhthhhthxttthhhhhhhtthhttthhtttthhhtxhtthxtttthtthxhhtthttthhhthtxththhthhhttxtxtxhhtxhtxtxhhttxtxhttththhtht
Amir,41,5 MAD,Tails,thtthtthhttttthtththxtthtthhhxththtthhtthtxtthtthhthtttxhxhtttthhthhxhthtthtthhthxthtthhttthhhhhtthxhhhhxtxttt
Amir,42,5 MAD,Heads,ttxttthxxtxthhttthtxthhhththhhhthhhthtxxhttttxtxhhhhthhtxhthhxhhxhhhhxhxhhxhtxttthtthttxthtxxhhxthxhthhhxhxhttxtttthxtxhtthhth
Amir,43,5 MAD,Tails,hhxxthtttthtxtththtttthtthtthtxhhxhthhhxhtxtthxxhxttxxtttttthttththttththtxxhttththttttttthhxttttxxtthhhhxhthttttthttxt
Amir,44,5 MAD,Tails,hhhhxhxhhthhthtttxttttxttttthttthtttthththhhhhthhhxthhthhtthxttxxttththhthxthhttxhtxhhhhttttththttxhtttttthtttxtt
Amir,45,5 MAD,Tails,txhhhxhthxhhthhxxhxthxttttthxththhhhtxtthxtttthhthxtttttthtthththxtxththtththhtthxtthxhtxhxhtthxtththhtttthxxththtttthtt
Amir,46,5 MAD,Tails,htxxhhhhhhthtthtthttthhxxthhhxtthxthttttthhhhtthtthtxtxthttxhhthhthhthhhhthttthhtttthhhthhtthhhtthxhhhhxhhxhhxhht
Amir,47,5 MAD,Heads,hthxhthtttthhhthxttthhthxthhhhhhxthhhhhtthhtthhttththhhhhtthhxththhhhhtthhhhhtxtxxthhhttxtththhtthtthhthhthtxt
Amir,48,5 MAD,Tails,hhthhtxhtxhhhhhhhxhthxhttxthtttxhtthhhhhhtthththttxhhhttthxttxhxththxhthxhhhtxtxtththhhthhhtttttthtxhtthttttxhxhhhhxht
Amir,49,5 MAD,Tails,xtthhhhhttttthhxhxhhhhhtthhhxxtxtthhxhthxhhttxtttthttthhtthhtthtxhhttthhttthxhtththhhhthhtxhxhttxxhhhxttthttththhhht
Amir,50,5 MAD,Tails,thxhtxhtxhtttttthhhhthxtthhhhtttttxththtxxttthhthhtthhthtxttthtxhhxththhxthhhthxtthtxxxhhttthttthttthxhxthhhttxhthhhth
Amir,51,2 MAD,Tails,hxxhtxhhtthttxhtttxhtthhhtxthhtthhhhhhxhtxtththhxthxthhxtthxhttthhttthhthtttthhtththxttxhhthxttttththhtthhhhthhthht
Amir,52,2 MAD,Tails,hhthhhhththhtttthhthtxthhhhhhhthxtthxthtxtthhthtthhtxhttxtxthxhxtthhhttthhhtthhhhthtxhxthhhhhtthxtthhhhhhtxhtthxht
Amir,53,2 MAD,Heads,ttxxththtxtthhthhthhhhxthxtthththththhhhththhhhtxhxtthhtthhtthhthhxtthhtthththttthtthhhthxtxtthtxhhtxthxhthhtthhh
Amir,54,2 MAD,Tails,ttxhthtxhthhthhhxhxhhhhtxhxhtthththttthtthxththttththhhhhthtttxhhxhtththhhtxxtxtthhththhhhtthhxtttthhhthhxxhhthhhtt
Amir,55,2 MAD,Heads,hthhxhhhxxtxxththhthtthhhhthhhhthhthtththhhttthhxxhhhhtthtxtxhhhhhthhxxtththhhththxttttttxtxththxttthhtthttxhhththhh
Amir,56,2 MAD,Heads,xthhxtththhhhttthhtttthxhhhtttxxthtthhhhtxthxxttttthhhhhttxxxttxhhxttthhhhtxxhxtxttthhhhxttxttttxhhhtxhhhhtthhhhtthxttthth
Amir,57,2 MAD,Tails,thhtthxhhtttxhtttttththhttthhhtxhhtxhhthhththhththhtxhxththtxtxhhhtttthhthhthhxthhhhhhhhttthththththhxhtththtxh
Amir,58,2 MAD,Heads,hthtthhxhtxhxththxxhtththhtththhxthxhhhxxxthhtxhttthhtthhthhhtxtthhthhhttthhtththtxthxttthhhtttthxhthhthtxhtthxtxthhth
Amir,59,2 MAD,Tails,ththhthxxthhtxttxttxtttttthhhhxthxthhhxtthxhthththhhtttttttthhhhhhhtxhxhhxxhxtxhxhhxxhxhhthththhthtthhxhttthttthttthhttxt
