Date, Coin, Start, Sequence
2023-01-18 22:24:47,0.25BRL,Heads,ththtttttthtxhtthxxhttthththttxtttthththhxthhhtthhththttxhthhtttxthhxthhxtttthhhttxhthtttthhttxhtthxttthtthhhtht
2023-01-19 10:42:16,0.25BRL,Heads,hhhhhthhhhththhtthtthhtthttthhhhthhththhxhthtthhxhtxtthththhttthxtthththtxhthhtxhhtxtttthhtththtthhtttxhthht
2023-01-19 10:53:35,0.25BRL,Heads,tttthhthhxhtththtthhhhthxhhththtthhtthhttxhthhttthhhthxthththhhtthhtthtttthththtthxttthhhthhhxxthhhthhtthhh
2023-01-19 11:00:46,0.25BRL,Heads,tthtththhhhhhhthtthhthhhththttxtttthhhxtthhhhxhthhthhthhhhttthththtthttththhthhhhhthttthttthhtthhhthhht
2023-01-19 11:08:50,0.25BRL,Tails,thhththhtthtthhhhxhhthththtttthhhhttxhthhthhtththhhhhthhththhhthtthhtxxththhhttthxthththhthhththhhthhxxhtht
2023-01-19 13:01:32,0.25BRL,Heads,htthhhhtttthtttththttttthttxtxxhhhthhhhhhhtthtthhhhhthtthtthtthxhhhtthhthhhtthhttxthtttthtthhththhhtthttt
2023-01-19 13:38:00,0.25BRL,Tails,ttttthhthhttxthhththhttththhthtthhththhhtthxhtththhhthththhtthhhttthxththhthhttthtthtthhhhthtttthtthttt
2023-01-19 13:46:01,0.25BRL,Tails,hhththhttthhthhxhttttthhhhhhthttttxthhhttthtttthxhtttthhxhttthtttthhttththhtthhthhhhthttthhhthhthhthttth
2023-01-19 14:26:10,0.25BRL,Tails,thhttxhtttthhhtthhhhthhthhththhhthhhhtththhthhtthhtttthhxttththththhththhhhththhhttththtthhtthttthhxhtt
2023-01-19 14:37:31,0.25BRL,Heads,thhhhhhhhhththhthththhhhtthtthtthhhhttthhtttttthttttthtttthttttthhhhtttththththhhhthhtxhtthhthhhhhtht
2023-01-19 14:51:49,0.25BRL,Tails,hhhththxhthhhhttthhhttthtthhthhthhhhttththhhthxhtxhxhthtththththtththhhttthththttthtthhtthhthhtthhhhhxttt
2023-01-19 15:10:42,0.25BRL,Tails,hhhthhthhthttttthhhhhthtthttttthtthtttththhhhhttththhthtthhhhhthhtththhhtthhhttthxthhttthhhttttthhhth
2023-01-19 15:18:29,0.25BRL,Heads,httthhhthttxhthttththttttththhhhxxtttthhtttththttthxhhhthhhhthttttththhhhtttththhhhthhtttttthhhththtthhh
2023-01-19 15:30:45,0.25BRL,Tails,tttthtthhhthhthththththhtththhthhthxhtthhtttxtttttxttthhthtttthhxthhhttthtttttttththhthxhthhhtttthxhthtthh
2023-01-19 15:40:50,0.25BRL,Heads,ttthhhthhththhttthxhhhhthhthtthththhhhtthhhxhhthtthhhtttthhthhttttxtththttttththhthtththhthhttthhhtttth
2023-01-19 15:51:26,0.25BRL,Heads,hthxttthhttthhhttttttthhhhhtththhhhtthxhthhhhhhhxhttxhththhhtttttttttttthhhhhthhtthhhhththhthhhhhthhttht
2023-01-20 10:43:53,0.25BRL,Heads,tththhhhttxhhtthhtxhxtthhtttttxxhhthhttxhththhththhhhhhhtttxtthhthxhthhhhhtxttttthttththttthhhhhhhthhhthhhhht
2023-01-20 10:52:44,0.25BRL,Tails,htthtxhhhthththtthhhthtthhtxxtththhhhtthhhthhhhtthhhtxthhhtthhthtthtthhttthtxhthtthhhhthththttthtthhhhttt
2023-01-20 11:00:39,0.25BRL,Tails,tthxhtththhhhhhhhthhhhttthhtthtthtttththtthhthhhtttthtthhhhthtthtxhthtxthththtthhtxttthttthhhttththhthtt
2023-01-20 11:15:17,0.25BRL,Tails,hhtthhhhthhttthtttththtthttxhhttttxtthhhttthxtxtthtthththththtththththhtthhxhhhthhxthhhhtththxhthhtththhttt
2023-01-20 11:28:23,0.25BRL,Tails,htthhthhhhhhtthtthhthtttthhhththttthhttthhhtttthhhhttthhhttthtttthhhthtthtthhhhtttthttttthhhhhhttttt
