Date, Coin, Start, Sequence
2022-12-30 11:13:00,2BDT,Heads,hhthhtthhthtthhhhthhhhhtthttthhhthhttttttthtttthhttththhtttthhhthxhhhhttthhhtththhthththhtttttttththh
2022-12-30 11:21:07,5YEN,Heads,hthhhttttththhhthththtthththttthththhttththhxthxhththhhhthhhhthttthhhhtththhhththhththttthhhttthhhhhtt
2022-12-30 11:27:06,5YEN,Tails,thhhthtthttthhththththtttthttthhtxhhtxttthhthttttthhhhthttttththttthhthhhhthtthhtttthtthhhtthtxthhttttt
2022-12-30 11:34:08,5YEN,Tails,tttthhttttttthhtthttththhttthhhhhthtthhhhxttthththhhtthththhhthhhtttthtththtththhtththhthhhhthtttttht
2022-12-30 11:44:41,5YEN,Tails,hhhhthtthtththththhhhthhthhhhhthhhhthhthxhthtttttththttththhhhthththhhxhththththhttxthtththhhhhthttttth
2022-12-30 12:19:29,5YEN,Tails,hthhhhhhttthhhthhththhhtthhtxttththhhthhthhhthhthtthhhthtthtttxhhtthhhthhhthhtttthththtxtthhhtthtththhh
2022-12-30 12:25:25,5YEN,Heads,httthhtthththtthhhtthtthhtthhhtthxtttttthhtttthththhtthhthhttttthththhtththttthhththhhhhhhthhhhthhhth
2023-01-09 17:55:44,5YEN,Tails,hhxtxthhthhttthtthttxhhthtxxhthhhhthhhhtthhhttttthhhhhthtthhhttthhhhttttthhththhxhxththhhhththtththhhhhtttt
2023-01-09 18:03:11,5YEN,Tails,ttttththhtthhtthtttttthhhhhhttththhttttthhhthhhthttthhhhtththtthhhhhtttthhthhhhhthhthhhhttttthttthhh
2023-01-09 18:15:20,5YEN,Tails,hhhtthxhhthtthhthtxhtthtthhhthttttttxtthtthhthththhthtttththhtthtxhtththhththtthtthththhhhtxhthttttthtthh
2023-01-09 18:22:17,5YEN,Heads,hhhththhtthhhhhhttthhhhthtthhthththhttthtxhththttttthhhhthhhthtxtxtthhthhtttthhthhhtththhtthhxhhhththhtt
2023-01-09 18:32:30,5YEN,Tails,thhttthtthtthtthhthhhthtthttthttxhttthhttthhttthththhhhthhtttthhhhtthtthththhhtthhhtthhxtthhhthtthhttt
2023-01-09 18:48:51,5YEN,Tails,thttxhhthtttththhhttxhhttthxhthhhhtttttthhhhhttthhthtttthxtthtttththhthtttttthhhttthhtthththttthhtthhhth
2023-01-09 19:03:05,5YEN,Tails,thhhhhthhhxhhhhthhththhtxhtthhhthhttthhxhhhtthhtthhtttttthhhthththhhtxhhthhththhhhtxhthhthhthtxthththttthh
