Date, Coin, Start, Sequence
2023-01-04 20:21:33,5SEK,Tails,tthtttxxttttththhhhtthhthhtthhhhhthhthxhttthhtththhhttttthhtththttttthhhttthtthhhtthxtththhhhhthttthhhhh
2023-01-04 20:27:40,5SEK,Heads,thhtthhtththttthhthhtthhhttthtttttxthtthhthttthhttthhxhhtthtxhhthhthhhhhtththhttthhthhtthtthtthxhhhhthtt
2023-01-04 20:35:29,5SEK,Heads,hthttthhtthhhttththhthhttththhhhthhththhhhttxthhhthttththhhhhxthhhtttthhhthtxhttttttttthhhhthtttthttthxxt
2023-01-04 23:00:31,5SEK,Heads,htthththxhttttthhthhhtthhhtxhhhthhhthtttthhhthhtxhtttthhththhtttthtxxttxhthhhhhhhtttthhtthhhhththhthttxhtht
2023-01-04 23:07:17,5SEK,Heads,hhhhhttxtthhthhhththhhtththtthhtththhxtthththttthhtthhhhhthhxtxhththhhtthhhthhhththhttthtttttxthhhhhthtxhh
2023-01-04 23:15:42,5SEK,Heads,thhtthhtththhhhthttthhxthhxthhtthtthhxxhthhtthttthhttthttttthhttttttttthhtthtthhhttthhhttthtxhttthhhtthht
2023-01-04 23:23:49,5SEK,Heads,thhxthhtthxhtthhhhtttthtttthtttxttththhhtttththththhthtttthhtthhhhhhthhxhttttthtthhttthhhhtthtxhttthhtthh
2023-01-04 23:31:23,5SEK,Tails,hhtthhhthhthtththhtttthhhhhthhxthhxtthhtxthhhhtttttttxhtthhhtttthhththtthhtthhhthttthtttttthttthxtthtxhhth
2023-01-05 11:42:53,5SEK,Heads,htththhthhhtthhhthhhhhththtthhttthhtththtxtthtttxhthhhthhhhhhhtthhthtttttthhtttththhthttthhhhtthttthtt
2023-01-05 11:50:22,5SEK,Tails,thththtxtxhhhhhhtthhthhtttttthhhhhtththththhthhttththtttthhthttthttxththththttttttxhthhhhthhhthhhtxhtttht
2023-01-05 11:56:24,5SEK,Heads,thhttthtthhhhhtttthtthtthhththhththhhhhhhthttthhtthhhhtthhhhthhhtthhthhtxththttxtthhhttttthhthhthhxhtht
2023-01-05 12:03:58,5SEK,Tails,tththxthhthhhttthtttttthhhthtthhxthththhhthhttthhtttttttththttthttthththtttxthhthtththtttttthhttthxtttht
2023-01-05 12:18:24,5SEK,Tails,hthhhhttthtthhhthththtxtxhthhtthhtthttthhhxththhthhhxhhthththhhhththtxttthtthtthhththtthtthhhthtxhhhtthhht
2023-01-06 20:20:03,5SEK,Tails,thhhhthxhhhthtthhthtxhtthhhtthhhtthtthhhththtthththhthhhthhhtththtxhhhtthtxhhhhthtththhthhththhttthhhttt
2023-01-07 20:03:47,5SEK,Tails,htttttthtthtttthhhhhhxhhtthhtthththhhtthtthtxhtxtthhhthhhtxhttthhxxhthttttttthhxhtxhhtthhxtththhhththhhhhhhth
2023-01-07 20:10:23,5SEK,Heads,txhhthxtttthhhhttthhtthhhtthttththttthtthhxhttththttththhhhhhxhthhhthhhxhtttthhhtthtthtttthhhthttttthhxttt
2023-01-07 20:17:07,5SEK,Tails,hhtttthhhhthtxhtthhhttthththhttthhtthhthhhhtttxtththtttthhhxthtttttthhhtthhhtthtthhthttttttthhtthtthhxhh
2023-01-07 20:22:37,5SEK,Tails,hthtthththththththhtxhxtttththxhhthhthttthxtttthhhhtthhthxhhhhthtttthhtthhhhhthhhtthhxhtthhththtthhthththt
2023-01-07 20:31:37,5SEK,Tails,htttttthhhthhhtxhtttthhttthhthhtthhtxhhhtthhhhthhhtxhthtthhhttthtthhthtthhhhhhhtththhththhhhhhhtthhhhhxt
2023-01-07 20:47:00,5SEK,Heads,hhthththttththxxhhhthhxhhttttxtthhhthtttthhhhttthhxthhthtttththhhhhhthttthtttthtthtthhhhthhxthhtthtttthhxht
2023-01-07 20:52:11,5SEK,Heads,tthhhhthhthtthhthhxththhthttthhhtxttthtthhthhhhhttthtthththxthhtthhhtthttttthththttthhhthtththhthhthhhh
2023-01-07 22:06:37,5SEK,Tails,hhhhtthhtttxtthhthttththhhtthhxthhththhhthhhtthxttxthhthhhhhxxththtththththhttthhhhttththhtthtthhhttxhhthht
2023-01-07 22:11:31,5SEK,Heads,thtthtttthtthhtthtthhtthhhttthhtthtxthhtthtthhhthtthhhthhhthhhhhhhhtthtththhhhhthhhthxhhtththththhhtth
2023-01-07 22:17:12,5SEK,Tails,ththththttxthhhxthtthtththhhhthhththhtxhthtxxthttttthhthhhtthhhhthttthhhhthhxtttthhthhttttththtthhhhtththt
2023-01-07 22:22:44,5SEK,Heads,htxtttttthtthtttttttttthhttththhhhttttththttthttthxhhthhthhhhhtththhxhhthhthhhhthhtttttththhhttththhhtt
2023-01-07 22:28:12,5SEK,Heads,hhhhhtththhhtthhhthhhhhhhthtttthhhhthththxhtttthhhthhhhxthttthhththtxhtthtttttttxthhhttththhhhhtthhhhttt
2023-01-07 22:33:41,5SEK,Tails,httttthhhhhthtthttxthththhhhthttthhhhhhtttttthhthhhhtththtthtttththhtxththttttthhtthhhtthxhhhthhhttttth
2023-01-07 22:38:46,5SEK,Heads,hhhhtthtttttththtthxthhthtthhhhthththhthhhtthtthxtxhttththtthhtthhhhtttthtthththhthhttttthhttthttttthtt
2023-01-18 21:35:09,2ILS,Tails,hhhthhtthhhhhhththhthhtxttttthhththtttthtthhhthththththhhthhhhttttxthhhhtxhhhhtttttxhtttthhhtthhtxthththt
2023-01-18 21:42:27,2ILS,Heads,tthhhhhthtthxttthtththttxhthhthhhxhtthttttttthhtthhhhhhttttthtthhhthhhtthtthhhhhhtthhttxtxhthhhhtttttttth
2023-01-18 21:49:15,2ILS,Tails,thththttxhtxhhtttthhthtttttttttthtttthtthttthtththththttththtthhhtxhhhtttxhhhttxhttthttttthttxhhthhxhthhxhht
2023-01-18 22:21:06,2ILS,Heads,httxhhhtthhthhhhthhttthhhttthhhhhxxthtxthtthhttthhtthhhthhtththhhhtthxhttxhthhhhhhttthhxhthtthhhxthhhxhxththth
2023-01-18 22:26:38,2ILS,Tails,tthtttttthtthhtttthhhthttthtxhtthhttthtttttthhhhhtthhhththhhhthhthhxhhththhhtthxthhhttxthtttthhthhhtthth
2023-01-18 22:31:51,2ILS,Tails,ttththtthhththhththtthttttthxthttttthhhhhthttthhhththttthtthhttthhtthhhthththhxhtththtttththhxhhtttthhh
2023-01-20 06:55:24,2ILS,Heads,hhttthhtthhhthhthhthttthhhttththhhtxthtthhhhhthxxhhhtttththhxhtthhthhtthhhtxthhtthhhtthhhhhthhhhthhhhxtttt
2023-01-20 07:02:21,0.25BRL,Heads,thhhhhxhhththhthttttxhtthttththhhthhhhttttttthttxththhhthhxxhthtttxhhthhhthhtthhhttxhthhthttxtxttthhhhhtththt
2023-01-20 07:07:40,0.25BRL,Heads,hthhhththhttthttthhhttttxtthttthhhtttthhhhhthhththhttthththhhhthttttthhhtththhththhttthttthtthhhthttt
2023-01-20 07:12:27,0.25BRL,Tails,hhthhhthhhhthththhthhhththtthhththtthththttthhhthxhhththhtthtttthtthhttthtthtthhhhhhhhhthtthhhhthhtht
2023-01-20 07:18:12,0.25BRL,Heads,hhhhhthtththhhttthhhttththhhhtxhthtththththhhhhthtttthhtthhthhttttthtthhhtxxthhthtthxthtthtthhtttthhhtth
2023-01-20 10:47:47,2ILS,Heads,htthtthhhthhththxhhttthththththhhhhhhxhththhtttthththtxhhtththhhhhhhtththhttttthhthhhhxxxhhtththhthttthhhh
2023-01-20 10:55:17,2ILS,Tails,hhhttttthtxthhhthhxhtthththththhttthhtthththhhhtththhxhhthhthtthhhhhhttttttthtxtthhtththttthxxtthhththhttt
2023-01-20 12:46:21,2ILS,Tails,hhthhhhhhttththhtthhthtthtthhhhthtthtttthxhhhtttttthhthhhhthhtthhhthhttxhhttthttttthtthttthtttthxhthtth
2023-01-22 17:50:54,0.50EUR,Heads,ttththhthtththhtthtththhtthttthhthhhhttxxhthtthhtxhtthtthhhhhhtxhthxtthhhthhhhhhhttththhhhhxhthhhhthhhtttt
2023-01-22 17:56:11,0.50EUR,Heads,thhththhhtttxhhhthtttthhhtxhhhxhhhhhhhhtthtthxhhhhtthhhthtttttttthxtthththhhhthhhhttththththtthttthththtt
2023-01-22 18:03:14,0.50EUR,Tails,hhthtxhhthhttttthhhtthhtthhhthxthhtthhhhhttthhthtttttthhtthhthtthttthtthttthtxhhthxthhxhhththhhthththtxttt
2023-01-22 18:08:42,0.50EUR,Heads,ttththtthhhhhhhthhxhthtthhhhxthhthhthhthtththhtttthtththhththhtxhtththtthtttthttthhhtthttthtththhhhhhhxh
2023-01-22 18:21:50,0.25BRL,Tails,htthhtthhtthhhtttthtththhhxtttthhthttttthhhtththhhthxtthhtxtxthhthtthhhthhthhtthtxttthtththhhttthtthhhhhh
2023-01-22 18:27:25,0.25BRL,Tails,tttththttthhththhthhththhtthhhhttxhhtthhhhthtthhxhhthhxxthttthhhhhhhhhthtthtttththhtttthhhtttthtthhxhhhtt
2023-01-22 18:32:54,0.25BRL,Heads,htththhhthhhhthttthhhttxtttttthtthhhtththhhhhtthxhthhhtthhtttttttthhhthththhthtthhhhthhhhhththhthhhttxh
2023-01-22 18:39:00,0.25BRL,Tails,ttthhhttttttxhhhhththhththhhhhtxhtthhhthhttttthxththhthhthxhthttthhtttttthtthttttthxhhhtttthttthtthtthhtt
2023-01-22 18:43:50,0.25BRL,Tails,thhthhthhththhthtththhhthhthhhttxttththhtthhtttthhttththhhttthhtttttththhhthtthhhthhtttththhthhhhxthhh
2023-01-22 18:49:41,0.25BRL,Tails,hhttththhxtththhhththhhtthhttttthhhththhtxthhtththxhhttthhthtttttthtttthtthhhtthtthhtthhhthhhtthhtxxtxhhhh
